SalesOrderID,OrderQty,ProductID,SpecialOfferID,UnitPrice,UnitPriceDiscount,LineTotal
43659,1,776,1,2024.994,0,2024.994000
43659,3,777,1,2024.994,0,6074.982000
43659,1,778,1,2024.994,0,2024.994000
43659,1,771,1,2039.994,0,2039.994000
43659,1,772,1,2039.994,0,2039.994000
43659,2,773,1,2039.994,0,4079.988000
43659,1,774,1,2039.994,0,2039.994000
43661,3,775,1,2024.994,0,6074.982000
43661,2,778,1,2024.994,0,4049.988000
43661,4,776,1,2024.994,0,8099.976000
43661,2,773,1,2039.994,0,4079.988000
43661,2,777,1,2024.994,0,4049.988000
43662,1,753,1,2146.962,0,2146.962000
43662,1,749,1,2146.962,0,2146.962000
43664,1,772,1,2039.994,0,2039.994000
43664,4,775,1,2024.994,0,8099.976000
43664,2,777,1,2024.994,0,4049.988000
43664,3,771,1,2039.994,0,6119.982000
43664,1,773,1,2039.994,0,2039.994000
43664,1,778,1,2024.994,0,2024.994000
43665,1,773,1,2039.994,0,2039.994000
43665,2,777,1,2024.994,0,4049.988000
43665,2,775,1,2024.994,0,4049.988000
43665,1,778,1,2024.994,0,2024.994000
43665,1,776,1,2024.994,0,2024.994000
43666,1,753,1,2146.962,0,2146.962000
43667,1,773,1,2039.994,0,2039.994000
43667,1,778,1,2024.994,0,2024.994000
43667,1,775,1,2024.994,0,2024.994000
43668,2,753,1,2146.962,0,4293.924000
43670,2,773,1,2039.994,0,4079.988000
43670,1,776,1,2024.994,0,2024.994000
43671,1,753,1,2146.962,0,2146.962000
43672,2,776,1,2024.994,0,4049.988000
43672,1,774,1,2039.994,0,2039.994000
43676,2,776,1,2024.994,0,4049.988000
43676,2,778,1,2024.994,0,4049.988000
43676,3,775,1,2024.994,0,6074.982000
43677,1,753,1,2146.962,0,2146.962000
43680,2,753,1,2146.962,0,4293.924000
43681,1,753,1,2146.962,0,2146.962000
43683,2,776,1,2024.994,0,4049.988000
43683,2,773,1,2039.994,0,4079.988000
43683,1,774,1,2039.994,0,2039.994000
43683,4,775,1,2024.994,0,8099.976000
43683,6,777,1,2024.994,0,12149.964000
43683,1,772,1,2039.994,0,2039.994000
43683,5,778,1,2024.994,0,10124.970000
43688,2,753,1,2146.962,0,4293.924000
43689,1,753,1,2146.962,0,2146.962000
43689,2,749,1,2146.962,0,4293.924000
43692,2,753,1,2146.962,0,4293.924000
43693,1,773,1,2039.994,0,2039.994000
43693,3,771,1,2039.994,0,6119.982000
43693,1,774,1,2039.994,0,2039.994000
43693,3,777,1,2024.994,0,6074.982000
43693,1,772,1,2039.994,0,2039.994000
43693,1,778,1,2024.994,0,2024.994000
43694,3,776,1,2024.994,0,6074.982000
43694,3,771,1,2039.994,0,6119.982000
43694,1,772,1,2039.994,0,2039.994000
43694,1,774,1,2039.994,0,2039.994000
43694,2,773,1,2039.994,0,4079.988000
43695,2,774,1,2039.994,0,4079.988000
43695,5,777,1,2024.994,0,10124.970000
43695,6,778,1,2024.994,0,12149.964000
43695,5,775,1,2024.994,0,10124.970000
43697,1,749,1,3578.27,0,3578.270000
43698,1,773,1,3399.99,0,3399.990000
43699,1,773,1,3399.99,0,3399.990000
43701,1,773,1,3399.99,0,3399.990000
43702,1,750,1,3578.27,0,3578.270000
43703,1,749,1,3578.27,0,3578.270000
43704,1,778,1,3374.99,0,3374.990000
43705,1,771,1,3399.99,0,3399.990000
43706,1,751,1,3578.27,0,3578.270000
43707,1,751,1,3578.27,0,3578.270000
43709,1,752,1,3578.27,0,3578.270000
43710,1,753,1,3578.27,0,3578.270000
43711,1,753,1,3578.27,0,3578.270000
43712,1,750,1,3578.27,0,3578.270000
43713,1,749,1,3578.27,0,3578.270000
43714,1,750,1,3578.27,0,3578.270000
43715,1,753,1,3578.27,0,3578.270000
43716,1,750,1,3578.27,0,3578.270000
43718,1,750,1,3578.27,0,3578.270000
43719,1,751,1,3578.27,0,3578.270000
43720,1,750,1,3578.27,0,3578.270000
43721,1,749,1,3578.27,0,3578.270000
43722,1,751,1,3578.27,0,3578.270000
43724,1,750,1,3578.27,0,3578.270000
43725,1,750,1,3578.27,0,3578.270000
43727,1,750,1,3578.27,0,3578.270000
43728,1,752,1,3578.27,0,3578.270000
43729,1,773,1,3399.99,0,3399.990000
43730,1,773,1,3399.99,0,3399.990000
43731,1,753,1,3578.27,0,3578.270000
43732,1,777,1,3374.99,0,3374.990000
43733,1,751,1,3578.27,0,3578.270000
43734,1,751,1,3578.27,0,3578.270000
43735,1,749,1,3578.27,0,3578.270000
43736,1,773,1,3399.99,0,3399.990000
43737,1,750,1,3578.27,0,3578.270000
43738,1,751,1,3578.27,0,3578.270000
43739,1,749,1,3578.27,0,3578.270000
43740,1,751,1,3578.27,0,3578.270000
43741,1,749,1,3578.27,0,3578.270000
43742,1,753,1,3578.27,0,3578.270000
43743,1,774,1,3399.99,0,3399.990000
43744,1,752,1,3578.27,0,3578.270000
43745,1,750,1,3578.27,0,3578.270000
43746,1,751,1,3578.27,0,3578.270000
43747,1,753,1,3578.27,0,3578.270000
43748,1,752,1,3578.27,0,3578.270000
43749,1,753,1,3578.27,0,3578.270000
43750,1,750,1,3578.27,0,3578.270000
43751,1,752,1,3578.27,0,3578.270000
43752,1,750,1,3578.27,0,3578.270000
43753,1,749,1,3578.27,0,3578.270000
43754,1,751,1,3578.27,0,3578.270000
43755,1,750,1,3578.27,0,3578.270000
43757,1,777,1,3374.99,0,3374.990000
43758,1,749,1,3578.27,0,3578.270000
43759,1,749,1,3578.27,0,3578.270000
43760,1,753,1,3578.27,0,3578.270000
43761,1,749,1,3578.27,0,3578.270000
43762,1,753,1,3578.27,0,3578.270000
43763,1,752,1,3578.27,0,3578.270000
43764,1,749,1,3578.27,0,3578.270000
43765,1,773,1,3399.99,0,3399.990000
43766,1,752,1,3578.27,0,3578.270000
43767,1,777,1,3374.99,0,3374.990000
43768,1,751,1,3578.27,0,3578.270000
43769,1,751,1,3578.27,0,3578.270000
43770,1,751,1,3578.27,0,3578.270000
43772,1,751,1,3578.27,0,3578.270000
43773,1,753,1,3578.27,0,3578.270000
43774,1,752,1,3578.27,0,3578.270000
43775,1,774,1,3399.99,0,3399.990000
43776,1,753,1,3578.27,0,3578.270000
43777,1,750,1,3578.27,0,3578.270000
43778,1,772,1,3399.99,0,3399.990000
43780,1,750,1,3578.27,0,3578.270000
43781,1,751,1,3578.27,0,3578.270000
43782,1,751,1,3578.27,0,3578.270000
43783,1,751,1,3578.27,0,3578.270000
43784,1,749,1,3578.27,0,3578.270000
43785,1,750,1,3578.27,0,3578.270000
43786,1,750,1,3578.27,0,3578.270000
43787,1,771,1,3399.99,0,3399.990000
43788,1,778,1,3374.99,0,3374.990000
43789,1,778,1,3374.99,0,3374.990000
43790,1,771,1,3399.99,0,3399.990000
43791,1,753,1,3578.27,0,3578.270000
43792,1,751,1,3578.27,0,3578.270000
43793,1,771,1,3399.99,0,3399.990000
43794,1,774,1,3399.99,0,3399.990000
43795,1,751,1,3578.27,0,3578.270000
43797,1,751,1,3578.27,0,3578.270000
43798,1,749,1,3578.27,0,3578.270000
43799,1,751,1,3578.27,0,3578.270000
43800,1,750,1,3578.27,0,3578.270000
43801,1,750,1,3578.27,0,3578.270000
43802,1,751,1,3578.27,0,3578.270000
43803,1,753,1,3578.27,0,3578.270000
43804,1,749,1,3578.27,0,3578.270000
43806,1,751,1,3578.27,0,3578.270000
43807,1,751,1,3578.27,0,3578.270000
43808,1,752,1,3578.27,0,3578.270000
43809,1,749,1,3578.27,0,3578.270000
43810,1,772,1,3399.99,0,3399.990000
43811,1,773,1,3399.99,0,3399.990000
43812,1,751,1,3578.27,0,3578.270000
43813,1,777,1,3374.99,0,3374.990000
43814,1,777,1,3374.99,0,3374.990000
43815,1,750,1,3578.27,0,3578.270000
43816,1,753,1,3578.27,0,3578.270000
43817,1,749,1,3578.27,0,3578.270000
43818,1,751,1,3578.27,0,3578.270000
43819,1,773,1,3399.99,0,3399.990000
43820,1,751,1,3578.27,0,3578.270000
43821,1,749,1,3578.27,0,3578.270000
43822,1,752,1,3578.27,0,3578.270000
43825,1,752,1,3578.27,0,3578.270000
43826,1,775,1,3374.99,0,3374.990000
43828,1,749,1,3578.27,0,3578.270000
43829,1,749,1,3578.27,0,3578.270000
43830,1,750,1,3578.27,0,3578.270000
43831,1,776,1,3374.99,0,3374.990000
43832,1,749,1,3578.27,0,3578.270000
43833,1,749,1,3578.27,0,3578.270000
43834,1,775,1,3374.99,0,3374.990000
43835,1,775,1,3374.99,0,3374.990000
43837,1,777,1,3374.99,0,3374.990000
43838,1,752,1,3578.27,0,3578.270000
43839,1,750,1,3578.27,0,3578.270000
43841,1,753,1,3578.27,0,3578.270000
43842,1,751,1,3578.27,0,3578.270000
43843,2,774,1,2039.994,0,4079.988000
43843,2,778,1,2024.994,0,4049.988000
43843,5,777,1,2024.994,0,10124.970000
43843,2,771,1,2039.994,0,4079.988000
43843,3,776,1,2024.994,0,6074.982000
43844,4,775,1,2024.994,0,8099.976000
43844,2,776,1,2024.994,0,4049.988000
43844,3,777,1,2024.994,0,6074.982000
43844,1,778,1,2024.994,0,2024.994000
