ProductID,Track_number,Price
514,SA-M198,133.34
515,SA-M237,147.14
516,SA-M687,196.92
517,SA-R127,133.34
518,SA-R430,147.14
519,SA-R522,196.92
520,SA-T467,133.34
521,SA-T612,147.14
522,SA-T872,196.92
680, 58,1059.31
706, 58,1059.31
717, 62,868.6342
718, 44,868.6342
719, 48,868.6342
720, 52,868.6342
721, 56,868.6342
722, 58,204.6251
723, 60,204.6251
724, 62,204.6251
725, 44,187.1571
726, 48,187.1571
727, 52,187.1571
728, 58,187.1571
729, 60,187.1571
730, 62,187.1571
731, 44,352.1394
732, 48,352.1394
733, 52,352.1394
734, 58,352.1394
735, 60,352.1394
736, 44,204.6251
737, 48,204.6251
738, 52,204.6251
739, 42,747.2002
740, 44,706.811
741, 48,706.811
742, 46,747.2002
743, 42,739.041
744, 44,699.0928
745, 48,699.0928
746, 46,739.041
747, 38,739.041
748, 38,747.2002
749, 62,2171.2942
750, 44,2171.2942
751, 48,2171.2942
752, 52,2171.2942
753, 56,2171.2942
754, 58,884.7083
755, 60,884.7083
756, 44,884.7083
757, 48,884.7083
758, 52,884.7083
759, 58,486.7066
760, 60,486.7066
761, 62,486.7066
762, 44,486.7066
763, 48,486.7066
764, 52,486.7066
765, 58,486.7066
766, 60,486.7066
767, 62,486.7066
768, 44,486.7066
769, 48,486.7066
770, 52,486.7066
771, 38,1912.1544
772, 42,1912.1544
773, 44,1912.1544
774, 48,1912.1544
775, 38,1898.0944
776, 42,1898.0944
777, 44,1898.0944
778, 48,1898.0944
779, 38,1265.6195
780, 42,1265.6195
781, 46,1265.6195
782, 38,1251.9813
783, 42,1251.9813
784, 46,1251.9813
785, 38,598.4354
786, 40,598.4354
787, 44,598.4354
788, 48,598.4354
789, 44,1518.7864
790, 48,1518.7864
791, 52,1518.7864
792, 58,1554.9479
793, 44,1554.9479
794, 48,1554.9479
795, 52,1554.9479
796, 58,1554.9479
797, 38,713.0798
798, 40,713.0798
799, 42,713.0798
800, 44,713.0798
801, 48,713.0798
802,FK-1639,148.22
803,FK-5136,175.49
804,FK-9939,229.49
806,HS-2451,102.29
807,HS-3479,124.73
810,HB-M918,120.27
813,HB-R956,120.27
814, 38,185.8193
816,FW-M762,209.025
817,FW-M928,300.215
819,FW-R762,248.385
820,FW-R820,330.06
821,FW-T905,218.01
822, 38,360.9428
824,RW-M762,236.025
825,RW-M928,327.215
826,RW-R623,112.565
827,RW-R762,275.385
828,RW-R820,357.06
829,RW-T905,245.01
830, 40,185.8193
831, 44,185.8193
832, 48,185.8193
833, 40,360.9428
834, 42,360.9428
835, 44,360.9428
836, 48,360.9428
837, 62,868.6342
838, 44,868.6342
839, 48,868.6342
840, 52,868.6342
876,RA-H123,120
879,ST-1401,159
885, 60,601.7437
886, 62,199.8519
887, 46,601.7437
888, 50,601.7437
889, 54,601.7437
890, 46,601.7437
891, 50,601.7437
892, 54,601.7437
893, 60,601.7437
894,RD-2308,121.46
895, 50,199.8519
896, 54,199.8519
897, 58,199.8519
898, 62,199.8519
899, 44,199.8519
900, 50,199.8519
901, 54,199.8519
902, 58,199.8519
903, 44,199.8519
904, 40,199.3757
905, 42,199.3757
906, 46,199.3757
907,RB-9231,106.5
917, 42,144.5938
918, 44,144.5938
919, 48,144.5938
920, 52,144.5938
924, 42,136.785
925, 44,136.785
926, 48,136.785
927, 52,136.785
942, 38,199.3757
943, 40,136.785
944, 40,144.5938
948,FB-9873,106.5
949,CS-4759,175.49
950,CS-6583,256.49
951,CS-9183,404.99
953, 60,755.1508
954, 46,1481.9379
955, 50,1481.9379
956, 54,1481.9379
957, 60,1481.9379
958, 54,461.4448
959, 58,461.4448
960, 62,461.4448
961, 44,461.4448
962, 50,461.4448
963, 54,461.4448
964, 58,461.4448
965, 62,461.4448
966, 46,1481.9379
967, 50,1481.9379
968, 54,1481.9379
969, 60,1481.9379
970, 46,755.1508
971, 50,755.1508
972, 54,755.1508
973, 40,1082.51
974, 42,1082.51
975, 44,1082.51
976, 48,1082.51
977, 58,343.6496
978, 44,461.4448
979, 50,461.4448
980, 38,419.7784
981, 40,419.7784
982, 42,419.7784
983, 46,419.7784
984, 40,308.2179
985, 42,308.2179
986, 44,308.2179
987, 48,308.2179
988, 52,308.2179
989, 40,294.5797
990, 42,294.5797
991, 44,294.5797
992, 48,294.5797
993, 52,294.5797
995,BB-8107,101.24
996,BB-9108,121.49
997, 44,343.6496
998, 48,343.6496
999, 52,343.6496
776,,2024.994
777,,2024.994
778,,2024.994
771,,2039.994
772,,2039.994
773,,2039.994
774,,2039.994
762,,419.4589
758,,874.794
745,,809.76
743,,714.7043
747,,714.7043
742,,722.5949
775,,2024.994
778,,2024.994
741,,818.7
776,,2024.994
773,,2039.994
777,,2024.994
764,,419.4589
770,,419.4589
730,,183.9382
754,,874.794
725,,183.9382
762,,419.4589
765,,419.4589
768,,419.4589
753,,2146.962
756,,874.794
763,,419.4589
732,,356.898
758,,874.794
729,,183.9382
722,,178.5808
749,,2146.962
760,,419.4589
726,,183.9382
733,,356.898
738,,178.5808
766,,419.4589
755,,874.794
760,,419.4589
772,,2039.994
775,,2024.994
